Code station,Nom station,,,Code ZAS,,,,,,,,,,Latitude,Longitude
FR01005,Hayange,,,ATMO GRAND EST,,,,,,,,,,"49,324722","6,076108"
FR01011,Metz-Centre,,,ATMO GRAND EST,,,,,,,,,,"49,119442","6,180833"
FR01012,Metz-Borny,,,ATMO GRAND EST,,,,,,,,,,"49,110283","6,223336"
FR01014,Pont-à-Mousson,,,ATMO GRAND EST,,,,,,,,,,"48,915","6,058336"
FR01015,Blénod-lès-PAM,,,ATMO GRAND EST,,,,,,,,,,"48,884724","6,051392"
FR01016,Atton,,,ATMO GRAND EST,,,,,,,,,,"48,886387","6,093611"
FR01018,Scy-Chazelles,,,ATMO GRAND EST,,,,,,,,,,"49,107502","6,122775"
FR01019,Thionville-Piscine,,,ATMO GRAND EST,,,,,,,,,,"49,36861","6,160831"
FR01020,Thionville-Centre,,,ATMO GRAND EST,,,,,,,,,,"49,358337","6,156942"
FR01021,Thionville-Garche,,,ATMO GRAND EST,,,,,,,,,,"49,394444","6,201392"
FR01022,St-Julien-lès-Metz,,,ATMO GRAND EST,,,,,,,,,,"49,131115","6,207225"
FR01059,HAYANGE-MARSPICH,,,ATMO GRAND EST,,,,,,,,,,"49,3374","6,08207"
FR01060,Malroy,,,ATMO GRAND EST,,,,,,,,,,"49,16885","6,212669"
FR01061,Florange_Bétange_HAP,,,ATMO GRAND EST,,,,,,,,,,"49,3331","6,1147"
FR01063,Serémange-Erzange,,,ATMO GRAND EST,,,,,,,,,,"49,321334","6,103931"
FR01064,Metz- Pont Grilles,,,ATMO GRAND EST,,,,,,,,,,"49,12508","6,181219"
FR01065,Belleville sur Meuse,,,ATMO GRAND EST,,,,,,,,,,"49,16778","5,387461"
FR01066,Fameck,,,ATMO GRAND EST,,,,,,,,,,"49,305089","6,101194"
FR02001,Berre l'Etang,,,ATMO SUD,,,,,,,,,,"43,486234","5,171939"
FR02003,Chateauneuf,,,ATMO SUD,,,,,,,,,,"43,386816","5,16006"
FR02004,Martigues P. Central,,,ATMO SUD,,,,,,,,,,"43,416661","5,042731"
FR02005,Martigues l'Ile,,,ATMO SUD,,,,,,,,,,"43,405297","5,051636"
FR02006,Martigues Laurons,,,ATMO SUD,,,,,,,,,,"43,358982","5,023388"
FR02007,Martigues La Gatasse,,,ATMO SUD,,,,,,,,,,"43,360692","5,058139"
FR02008,Port de Bouc Leque,,,ATMO SUD,,,,,,,,,,"43,401952","4,981919"
FR02009,Port Saint Louis,,,ATMO SUD,,,,,,,,,,"43,39378","4,801024"
FR02011,Fos sur Mer,,,ATMO SUD,,,,,,,,,,"43,437858","4,945116"
FR02012,Istres,,,ATMO SUD,,,,,,,,,,"43,506149","4,982898"
FR02013,Fos Les Carabins,,,ATMO SUD,,,,,,,,,,"43,458927","4,934572"
FR02019,Vitrolles,,,ATMO SUD,,,,,,,,,,"43,44603","5,254136"
FR02020,Rognac les Brets,,,ATMO SUD,,,,,,,,,,"43,510802","5,220046"
FR02021,Sausset les Pins,,,ATMO SUD,,,,,,,,,,"43,331245","5,117696"
FR02022,Arles,,,ATMO SUD,,,,,,,,,,"43,675114","4,62921"
FR02024,Ste Maries de la Mer,,,ATMO SUD,,,,,,,,,,"43,457076","4,428002"
FR02026,Miramas Centre Ville,,,ATMO SUD,,,,,,,,,,"43,584693","5,006452"
FR02028,Martigues Lavera,,,ATMO SUD,,,,,,,,,,"43,386564","5,026868"
FR02029,Chateauneuf La Mede,,,ATMO SUD,,,,,,,,,,"43,399546","5,113214"
FR02033,Martigues  Couronne,,,ATMO SUD,,,,,,,,,,"43,339893","5,058827"
FR02041,SALON,,,ATMO SUD,,,,,,,,,,"43,639002","5,101097"
FR02043,Marignane,,,ATMO SUD,,,,,,,,,,"43,4165306","5,222281"
FR03006,MARSEILLE RABATAU,,,ATMO SUD,,,,,,,,,,"43,276451","5,39736"
FR03014,MARSEILLE ST LOUIS,,,ATMO SUD,,,,,,,,,,"43,348048","5,360119"
FR03021,AIX ROY RENE,,,ATMO SUD,,,,,,,,,,"43,524075","5,448164"
FR03027,PLAN AUPS/STE  BAUME,,,ATMO SUD,,,,,,,,,,"43,335201","5,727365"
FR03029,AIX CENTRE ECOLE ART,,,ATMO SUD,,,,,,,,,,"43,530285","5,440912"
FR03030,GARDANNE,,,ATMO SUD,,,,,,,,,,"43,453584","5,466672"
FR03032,AUBAGNE LES PASSONS,,,ATMO SUD,,,,,,,,,,"43,293138","5,574184"
FR03037,VALLEE HUVEAUNE,,,ATMO SUD,,,,,,,,,,"43,283341","5,511384"
FR03043,MARSEILLE 5 AVENUES,,,ATMO SUD,,,,,,,,,,"43,305287","5,394716"
FR03048,AIX PLATANES,,,ATMO SUD,,,,,,,,,,"43,555777","5,461232"
FR03060,LA SEYNE GENOUD,,,ATMO SUD,,,,,,,,,,"43,101565","5,875404"
FR03067,BRIGNOLES,,,ATMO SUD,,,,,,,,,,"43,398731","6,075611"
FR03068,TOULON FOCH,,,ATMO SUD,,,,,,,,,,"43,126821","5,921605"
FR03069,HYERES,,,ATMO SUD,,,,,,,,,,"43,119737","6,131319"
FR03070,ESTEREL,,,ATMO SUD,,,,,,,,,,"43,43786","6,768366"
FR03071,TOULON CLARET,,,ATMO SUD,,,,,,,,,,"43,131113","5,924184"
FR03080,AVIGNON   MAIRIE,,,ATMO SUD,,,,,,,,,,"43,949673","4,804341"
FR03084,LE PONTET,,,ATMO SUD,,,,,,,,,,"43,960144","4,856731"
FR03086,APT,,,ATMO SUD,,,,,,,,,,"43,88012","5,362038"
FR03087,Avignon Semard,,,ATMO SUD,,,,,,,,,,"43,93706","4,824909"
